comm24,baseTime,hrs,output
2,55,24,3
50,20,24,8
30,14,24,4
8,49,24,1
10,47,24,0
6,66,24,2
24,38,24,2
0,70,24,0
14,28,24,0
3,57,24,2
7,40,24,5
8,45,24,2
5,41,24,0
8,52,24,2
101,42,24,13
86,13,24,48
18,71,24,14
79,35,24,10
86,44,24,20
49,36,24,2
18,50,24,9
48,2,24,56
8,45,24,3
86,32,24,7
15,31,24,3
28,28,24,4
16,57,24,10
235,30,24,40
1,64,24,1
29,37,24,4
10,58,24,0
4,50,24,4
29,29,24,1
67,8,24,35
7,50,24,3
50,34,24,7
3,67,24,2
45,33,24,2
53,2,24,45
10,64,24,3
1,46,24,0
53,10,24,16
1,44,24,0
1,44,24,1
4,29,24,1
67,26,24,17
7,54,24,0
41,38,24,1
5,45,24,0
0,66,24,0
2,57,24,0
18,40,24,0
0,70,24,0
35,25,24,0
37,1,24,79
26,7,24,3
9,51,24,1
37,32,24,4
2,65,24,1
20,39,24,5
3,66,24,0
6,47,24,5
6,47,24,4
5,60,24,0
119,21,24,18
1,60,24,4
15,4,24,8
5,69,24,2
1,66,24,2
88,11,24,21
15,48,24,4
3,54,24,1
16,43,24,2
2,58,24,0
71,20,24,22
23,40,24,1
38,37,24,5
3,46,24,6
78,15,24,23
15,61,24,3
37,12,24,18
5,1,24,25
33,30,24,11
34,59,24,10
2,66,24,0
8,29,24,6
29,8,24,7
41,7,24,36
199,25,24,53
137,11,24,23
10,60,24,6
231,22,24,16
21,50,24,7
18,31,24,5
52,23,24,10
194,25,24,22
0,0,24,22
19,43,24,1
90,25,24,12
8,31,24,0
3,65,24,2
253,9,24,52
11,71,24,1
210,30,24,28
155,24,24,24
478,25,24,61
119,16,24,19
12,59,24,3
42,43,24,30
355,23,24,55
195,11,24,48
0,0,24,193
4,69,24,1
15,57,24,5
230,23,24,14
305,15,24,36
40,46,24,13
166,7,24,58
105,14,24,21
161,17,24,34
12,67,24,2
47,1,24,93
25,39,24,2
16,47,24,3
89,22,24,8
14,55,24,2
65,12,24,10
15,61,24,0
0,68,24,0
0,0,24,92
375,16,24,67
160,16,24,23
79,12,24,23
7,55,24,0
99,15,24,14
92,23,24,14
49,42,24,16
1,64,24,0
150,24,24,3
7,58,24,0
621,21,24,63
15,41,24,5
20,30,24,14
9,50,24,2
28,31,24,7
300,9,24,189
152,16,24,25
167,36,24,74
7,39,24,3
16,57,24,2
14,49,24,3
43,39,24,5
35,36,24,9
166,23,24,35
1,38,24,1
3,49,24,1
0,53,24,0
7,65,24,2
7,57,24,1
1,50,24,1
125,9,24,38
28,55,24,3
15,43,24,3
0,56,24,9
4,50,24,4
6,38,24,1
160,21,24,2
173,22,24,5
65,29,24,12
162,15,24,10
34,27,24,2
8,46,24,4
335,6,24,98
114,27,24,17
57,35,20,25
0,61,24,0
1,9,24,1
7,51,24,1
3,32,24,1
6,36,24,1
23,15,24,13
3,17,24,0
4,33,24,0
34,21,24,20
3,37,24,2
7,36,24,1
2,48,24,0
13,32,24,9
4,50,24,0
2,3,24,4
58,19,24,19
15,44,24,5
13,5,24,6
2,34,24,0
5,42,24,0
12,20,24,2
43,23,24,1
5,33,24,1
3,35,24,2
1,72,24,0
2,39,24,0
3,26,24,0
284,12,24,106
4,42,24,2
5,23,24,1
19,26,24,1
13,55,24,1
17,32,24,2
1,46,24,0
0,65,24,0
2,67,24,0
10,42,24,3
1,36,24,0
2,69,24,1
39,20,24,7
19,20,24,1
0,67,24,0
6,48,24,0
87,12,24,23
18,5,24,13
0,67,24,0
10,10,24,10
1,55,24,0
1,40,24,0
21,1,24,139
1,59,24,0
28,14,24,9
1,54,24,0
15,33,24,2
0,64,24,0
15,36,24,4
0,54,24,0
1,2,24,3
0,70,24,0
157,11,24,78
16,13,24,2
18,30,24,0
1,41,24,0
3,45,24,0
2,31,24,0
0,68,24,0
0,71,24,0
4,28,24,0
8,32,24,0
0,62,24,0
2,44,24,1
1,38,24,1
6,26,24,0
4,35,24,0
1,29,24,0
0,62,9,0
3,2,24,1
3,33,24,0
0,64,3,0
6,22,24,0
1,49,18,0
5,25,24,3
0,56,10,0
4,9,24,1
2,28,24,0
76,11,24,14
1,46,19,0
0,56,9,0
1,51,13,0
12,22,24,1
2,34,24,0
21,23,24,2
2,47,17,1
5,32,24,1
0,50,13,0
0,53,2,0
4,40,5,0
5,1,24,8
1,30,12,0
6,33,9,2
4,4,24,1
2,39,1,0
0,39,1,0
8,16,24,4
5,13,24,2
3,38,1,0
0,62,24,0
0,60,24,0
1,51,24,0
1,37,24,0
0,31,24,0
0,68,24,0
0,3,24,0
0,29,24,0
0,49,24,0
0,11,24,0
14,52,24,17
19,40,24,26
0,0,24,30
5,58,24,13
18,67,24,7
121,61,24,169
0,30,24,0
0,57,24,0
0,39,24,0
1,15,24,0
0,0,24,0
0,44,24,0
4,49,24,5
0,48,24,0
0,0,24,0
0,6,24,0
0,11,24,0
0,49,24,0
0,53,24,0
2,54,24,0
0,54,24,0
0,62,24,0
0,70,24,0
1,70,24,0
1,15,24,0
4,6,24,1
1,14,24,0
0,59,24,0
0,45,24,0
1,11,24,0
2,19,24,1
0,63,24,0
1,36,24,0
0,60,24,0
1,15,24,0
1,45,24,0
0,45,24,0
0,61,24,0
0,21,24,0
1,25,24,0
0,59,24,0
0,44,24,0
0,2,24,0
0,57,24,0
0,65,24,0
0,37,24,0
0,64,24,0
0,11,24,0
0,15,24,0
0,61,24,0
0,61,24,0
0,65,24,0
2,26,24,0
0,42,24,0
2,3,24,0
2,14,24,0
0,33,24,0
0,28,24,0
0,39,24,0
0,68,24,0
0,48,24,0
0,50,24,0
0,39,24,0
0,68,24,0
0,62,24,0
0,37,24,0
0,35,24,0
2,27,24,0
0,41,24,0
0,64,24,0
0,59,24,0
2,2,24,2
0,69,24,0
0,42,24,1
0,39,24,0
0,69,24,0
0,8,24,0
0,29,24,0
0,59,24,0
0,0,24,4
0,54,24,0
0,71,24,0
0,8,24,0
0,24,24,0
0,47,24,0
0,36,24,0
3,43,24,0
0,48,24,0
0,33,24,0
2,11,24,0
1,22,24,0
9,67,24,8
25,41,24,15
43,37,24,26
58,59,24,10
112,27,24,29
63,65,24,14
12,68,24,9
89,30,24,20
47,48,24,23
185,14,24,93
152,12,24,81
139,38,24,55
168,16,24,18
15,51,1,1
571,17,24,174
115,9,24,42
111,26,15,19
1,29,24,0
7,67,24,8
111,6,24,36
315,19,24,25
116,3,24,114
1,50,24,0
4,63,24,0
12,46,24,2
5,39,24,1
19,35,24,1
132,22,24,27
49,20,24,16
5,65,24,1
24,21,24,5
34,27,24,6
5,2,24,10
208,16,24,21
101,21,24,5
125,24,24,14
54,6,24,8
1,65,24,0
3,70,24,0
6,61,24,0
9,61,24,0
5,51,24,0
16,38,24,0
87,15,24,16
1,45,24,0
76,16,24,6
88,24,24,8
52,17,24,7
3,49,24,0
4,65,24,0
320,21,24,71
26,44,24,5
0,63,24,0
19,32,24,4
3,42,24,1
14,3,24,10
10,53,24,0
26,37,24,8
5,62,24,0
12,30,24,0
1,36,24,0
1,70,24,0
18,63,24,3
47,10,24,5
0,34,24,1
16,50,24,0
1,56,24,0
24,13,24,3
3,56,24,0
26,46,24,7
2,69,24,2
16,4,24,37
143,23,24,11
60,9,24,10
156,7,24,37
21,67,24,2
2,48,24,0
38,15,24,8
2,72,24,1
3,70,24,1
14,39,24,5
8,35,24,0
167,24,24,28
3,65,24,1
245,2,24,392
9,48,24,2
116,24,24,8
77,21,24,14
368,16,23,106
0,56,24,0
0,40,24,0
0,15,24,0
0,20,24,0
0,25,24,0
2,13,24,0
0,32,24,0
0,72,24,0
0,69,24,0
0,69,24,0
0,24,24,0
0,70,24,0
0,8,24,0
0,0,24,2
1,13,24,1
0,13,24,0
0,58,24,0
0,64,24,0
1,3,24,2
0,9,24,2
0,67,24,0
3,21,24,0
0,65,24,0
5,12,24,0
0,58,24,0
0,64,24,0
5,20,24,0
0,33,24,0
0,44,24,0
2,6,24,0
0,69,24,0
0,6,24,0
0,66,24,0
2,34,24,0
0,60,24,0
0,35,24,0
0,48,24,0
0,18,24,0
0,37,24,0
0,47,24,0
0,5,24,0
0,45,24,0
0,6,24,0
0,30,24,0
3,25,24,1
0,31,24,0
0,54,24,0
2,9,24,0
0,69,24,0
0,7,24,0
2,3,24,1
0,24,24,0
0,13,24,0
0,15,24,0
0,66,24,0
0,56,24,0
1,30,24,0
0,21,24,0
0,28,24,0
0,59,24,0
1,13,24,0
0,0,24,0
1,4,24,2
0,51,24,0
0,43,24,0
0,8,24,0
3,25,24,0
1,21,24,0
0,65,24,0
0,32,24,0
0,30,24,0
0,63,24,0
0,36,24,0
0,69,24,0
0,45,24,0
0,46,24,0
0,37,24,0
0,34,24,0
0,49,24,0
1,35,24,0
0,50,24,0
0,72,24,0
0,48,24,0
0,57,24,0
0,29,24,0
1,37,24,0
0,46,24,0
0,4,24,0
3,23,24,0
0,22,24,0
0,67,24,0
0,30,24,0
1,54,24,0
0,12,24,0
0,2,24,0
0,5,24,0
0,45,24,0
0,33,24,0
1,1,24,0
0,0,24,0
0,21,24,0
0,29,24,2
0,43,24,0
0,56,24,0
0,51,24,0
0,36,24,0
0,64,24,0
0,53,24,0
0,23,24,0
9,22,24,0
0,28,24,0
0,48,24,0
0,8,24,0
0,61,24,0
4,24,24,0
0,7,24,1
0,30,24,0
0,56,24,0
1,17,24,0
0,51,24,0
0,47,24,0
0,9,24,0
0,44,24,0
6,15,24,0
1,37,24,0
0,46,24,0
0,49,24,0
2,25,24,0
2,16,24,1
0,8,24,0
0,64,24,0
1,7,24,0
1,29,24,0
53,15,24,25
0,47,24,4
1,51,24,7
1,70,24,0
16,29,24,14
7,49,24,4
24,39,24,18
12,50,24,4
40,16,24,11
4,12,24,19
38,51,24,3
23,53,24,10
26,13,24,28
139,62,24,60
42,12,24,21
94,57,24,56
24,48,24,11
26,25,24,16
4,70,24,12
14,47,24,27
1,48,24,1
70,31,24,54
6,72,24,1
32,38,24,6
1,60,24,4
15,50,24,7
7,53,24,6
6,44,24,1
4,53,24,9
14,36,24,1
13,36,24,0
27,28,24,1
5,58,24,1
18,37,24,3
9,6,24,13
58,39,24,14
82,59,24,102
47,4,24,60
1,67,24,29
34,40,24,43
21,13,24,38
1,60,24,4
95,15,24,36
99,6,24,61
100,28,24,6
121,24,24,5
7,40,24,1
34,14,24,29
43,40,24,20
23,17,24,7
7,45,24,3
21,64,24,8
42,16,24,6
25,9,24,43
5,61,24,7
24,48,24,35
19,8,24,21
18,35,24,4
13,34,24,6
0,48,24,2
17,39,24,2
23,3,24,123
16,2,24,47
13,42,24,1
13,45,24,1
4,50,24,5
40,28,24,27
5,69,24,2
32,43,24,7
1,64,24,0
62,27,24,7
4,1,24,13
31,32,24,2
42,43,24,17
32,32,24,11
3,52,24,2
58,23,24,0
71,26,24,1
124,6,24,14
26,6,24,20
9,15,24,27
762,22,24,14
463,15,24,22
2,52,24,2
20,16,24,30
12,68,24,4
5,62,24,3
4,63,24,2
6,50,24,0
4,11,24,19
9,12,24,57
23,7,24,47
33,24,24,11
26,44,24,1
69,21,24,11
42,24,24,12
17,42,24,7
1,64,24,1
31,39,24,2
15,42,24,2
53,19,24,18
11,54,24,5
3,60,24,1
1,55,24,0
47,45,24,7
12,20,24,21
2,48,24,1
16,21,24,37
52,34,24,3
20,27,24,16
3,62,24,5
10,50,24,0
2,68,24,1
20,56,24,3
26,30,24,3
1,2,24,32
28,21,24,18
42,22,18,8
0,7,24,0
0,48,24,0
0,32,19,0
8,57,24,4
0,13,24,0
21,47,24,2
0,41,24,0
0,51,24,0
0,45,24,0
0,2,24,0
1,11,24,0
0,61,24,0
3,29,24,0
0,41,24,0
12,14,24,1
2,2,24,9
0,58,24,0
0,42,24,0
0,64,24,0
0,46,24,0
0,56,24,0
2,1,24,3
2,7,24,0
8,31,24,0
9,20,24,0
19,11,24,7
2,57,24,0
6,46,24,1
2,54,24,0
7,17,24,0
0,54,24,1
2,29,24,0
0,62,24,1
1,67,24,1
9,21,24,0
0,69,24,0
0,30,24,0
0,45,24,1
0,52,24,0
2,7,24,0
0,28,24,0
2,30,24,0
0,62,24,0
9,26,24,1
24,43,24,1
0,60,24,0
0,5,24,0
23,22,24,1
34,47,24,36
15,28,24,2
10,29,24,1
0,71,24,0
0,15,24,0
17,19,24,1
0,59,24,1
1,2,24,3
2,40,24,0
0,70,24,0
3,7,24,1
1,64,24,0
0,33,24,0
2,28,24,0
2,59,24,2
3,7,24,1
0,72,24,0
0,59,24,0
0,65,24,0
0,34,24,0
0,24,24,0
0,51,24,0
0,69,24,1
0,63,24,0
3,36,24,1
3,13,24,1
0,61,24,0
1,50,24,0
4,42,24,0
2,33,24,0
0,42,24,1
0,66,24,0
17,17,24,5
1,17,24,1
0,10,24,0
1,10,24,1
0,1,24,0
1,37,24,0
81,22,24,22
1,25,24,0
8,18,24,9
0,52,24,0
2,26,24,1
0,65,24,0
0,55,24,0
1,55,24,0
0,56,24,0
47,12,24,24
1,58,24,0
5,7,24,5
7,26,24,0
2,33,24,0
6,12,24,1
0,71,24,0
0,71,24,0
1,46,24,0
2,14,24,0
2,57,24,0
0,66,24,0
7,5,24,4
0,69,24,0
3,24,24,0
0,23,24,0
0,60,24,0
1,53,24,0
0,52,24,0
1,58,24,0
0,41,24,0
7,15,24,0
1,38,24,0
2,26,24,0
0,48,24,0
5,21,24,1
0,71,24,0
5,14,24,1
11,18,24,2
10,20,24,1
3,35,24,0
0,66,24,0
17,5,24,4
0,61,24,0
1,48,24,1
0,34,24,0
1,40,24,0
2,30,24,0
3,15,24,0
2,16,24,1
0,15,24,0
11,6,24,11
3,32,24,1
2,42,24,0
1,45,24,0
0,70,24,0
1,65,24,0
6,6,24,8
0,57,24,0
1,51,24,1
1,46,24,0
10,1,24,18
0,54,24,0
2,33,24,0
8,51,24,0
0,7,24,0
0,70,24,0
6,1,24,14
1,36,24,0
1,47,24,1
1,41,24,0
1,45,24,0
4,45,24,0
0,61,24,0
1,30,24,0
1,18,24,1
12,13,24,5
19,8,24,5
2,33,24,1
0,42,24,0
2,26,24,0
18,14,24,6
11,22,24,0
0,28,24,0
1,40,24,0
1,41,24,0
1,21,24,0
0,28,24,0
0,21,24,0
0,14,24,0
0,46,24,0
0,30,24,0
2,55,24,0
3,60,8,0
2,56,24,1
4,63,24,0
5,55,24,0
8,41,24,0
0,71,24,1
2,48,24,0
4,47,24,1
0,54,24,0
1,57,24,0
9,32,24,1
59,18,24,21
285,6,24,115
8,31,24,1
7,10,24,4
87,11,24,35
0,0,24,56
8,50,24,4
99,13,24,29
3,28,24,2
10,4,24,3
1,46,24,2
5,34,24,0
31,10,24,6
40,29,24,7
38,25,24,7
27,34,24,2
1,46,24,0
282,22,24,24
0,64,4,0
29,32,24,10
104,18,24,28
7,39,19,3
125,18,24,33
294,8,24,136
4,28,14,2
12,25,24,3
23,16,24,5
3,67,24,2
19,8,24,15
19,21,24,2
4,42,24,0
8,40,24,4
25,4,24,27
0,64,24,0
4,54,24,0
7,24,24,0
10,16,24,3
14,33,24,3
7,44,24,1
7,1,24,3
10,18,24,5
0,41,23,0
40,7,24,12
0,45,24,0
2,58,24,1
13,29,24,0
1,62,24,0
12,36,24,2
0,0,24,85
133,21,24,14
2,63,24,0
0,54,24,0
3,45,24,0
2,59,24,1
1,58,24,0
44,7,24,33
0,55,24,0
0,52,24,0
3,39,24,0
2,68,24,2
1,61,24,0
2,64,24,0
52,9,24,7
74,23,24,4
2,58,1,0
0,19,24,0
0,23,24,0
0,22,24,0
0,40,24,0
0,40,24,0
0,50,24,0
0,43,24,0
0,25,24,0
0,34,24,0
0,57,24,0
8,5,24,0
0,45,24,0
0,58,24,0
0,36,24,0
21,66,24,3
272,33,24,63
604,26,24,116
96,18,24,26
158,7,24,75
270,24,20,57
0,5,24,0
0,45,24,0
0,65,24,0
1,12,24,1
0,60,24,0
0,50,24,0
0,27,24,0
4,16,24,1
0,15,24,1
4,68,24,0
1,31,24,0
0,15,24,0
1,28,24,0
0,52,24,0
0,31,24,1
0,49,24,0
0,29,24,0
0,3,24,0
0,65,24,0
0,51,24,1
2,13,24,0
0,63,24,0
10,22,24,0
1,45,24,0
8,8,24,4
0,53,24,0
0,36,24,0
0,67,24,0
0,63,24,0
0,0,24,0
2,16,24,0
0,66,24,0
0,6,24,1
0,72,24,0
0,20,24,0
1,35,24,0
0,14,24,0
0,22,24,0
0,63,24,0
1,36,24,0
0,44,24,0
1,13,24,0
1,56,24,0
0,30,24,0
3,7,24,0
1,42,24,0
0,30,24,0
0,35,24,0
0,60,24,0
1,9,24,0
0,31,24,0
0,8,24,0
9,10,24,1
0,41,24,0
0,39,24,0
366,15,24,110
5,67,24,1
165,3,24,161
344,24,24,44
274,18,24,86
92,25,24,25
102,49,24,9
20,62,24,3
9,48,24,2
54,5,24,61
2,49,24,2
57,42,24,35
104,46,24,37
94,39,24,8
335,5,24,188
16,48,24,3
12,35,24,3
57,59,24,8
75,7,24,76
18,44,24,6
422,11,24,252
146,54,24,15
130,25,24,35
44,2,24,37
422,30,24,91
357,15,24,67
43,62,24,9
464,30,24,142
0,0,24,336
320,28,24,115
9,72,24,1
75,35,24,37
376,8,24,22
6,50,24,8
118,41,24,43
0,0,24,424
79,51,24,24
413,6,24,322
89,16,24,25
261,30,11,35
68,29,24,6
5,59,24,1
67,18,24,4
60,1,24,195
212,6,24,120
24,52,24,5
295,11,24,68
48,35,24,10
47,37,24,8
191,5,24,111
39,49,24,15
87,3,24,201
13,51,24,3
194,20,24,23
134,20,24,16
141,5,24,114
87,2,24,114
14,38,24,7
7,56,24,1
58,18,24,6
12,51,24,1
9,51,24,1
5,52,24,0
81,31,24,7
243,23,24,22
6,70,24,3
22,67,24,3
192,20,24,32
6,72,24,2
126,11,24,30
10,54,24,4
1,53,24,0
13,60,24,3
19,56,24,6
144,30,24,2
11,28,24,3
226,15,24,24
15,2,24,30
2,59,24,1
3,53,24,0
7,45,24,1
102,26,24,3
3,46,24,1
0,49,24,0
3,67,24,0
18,38,24,2
0,48,24,1
2,39,24,0
3,53,24,1
8,56,24,1
31,46,24,8
91,24,24,2
702,3,24,527
0,72,24,2
2,53,24,0
86,35,24,6
60,34,24,5
8,56,24,0
66,16,24,2
1,59,24,0
489,16,24,66
36,40,24,6
58,43,24,12
189,10,24,53
20,55,24,0
45,4,24,89
11,47,24,0
0,68,24,0
47,69,24,7
3,50,24,1
17,29,24,1
11,61,24,2
0,68,24,1
0,68,24,0
10,46,24,2
1,37,24,1
21,38,24,2
4,59,24,1
801,22,24,9
20,10,24,6
11,53,24,0
10,39,24,3
272,12,24,15
74,1,24,106
169,5,24,99
2,71,24,0
37,21,24,9
185,5,24,198
98,29,24,20
352,24,24,4
8,37,24,1
256,20,24,34
276,23,24,2
99,21,24,10
266,15,24,17
159,18,24,12
96,13,24,7
419,13,24,11
63,11,24,5
132,30,24,9
5,54,24,0
16,44,24,3
47,36,24,2
1,62,24,0
45,25,24,8
191,8,24,93
10,44,20,0
207,10,24,57
58,22,19,3
328,29,10,4
3,17,24,1
0,71,24,1
6,27,24,0
1,62,24,1
4,3,24,0
3,59,24,3
4,11,24,3
25,2,24,20
4,28,24,0
0,57,24,0
0,69,24,1
0,67,24,0
159,19,24,13
0,47,24,0
5,43,24,0
33,9,24,3
7,28,24,0
6,16,24,1
1,45,24,0
10,3,24,6
0,68,24,0
0,37,24,0
2,50,24,2
0,30,24,0
21,26,24,1
9,59,24,2
0,63,24,0
0,38,24,1
1,69,24,0
3,30,24,2
0,2,24,0
1,22,24,0
0,56,24,2
0,37,24,0
0,41,24,0
1,21,24,2
0,14,24,1
1,70,24,2
8,15,24,0
22,24,24,0
3,14,24,0
2,22,24,1
0,3,24,0
34,3,24,5
139,16,24,26
0,53,24,0
6,44,24,3
0,61,24,0
5,34,24,2
10,10,24,4
0,61,24,0
8,43,24,0
35,14,24,9
0,30,24,4
0,67,24,0
0,49,24,0
1,39,24,0
0,67,24,0
0,64,24,0
0,67,24,0
0,41,24,0
0,42,24,0
0,5,24,0
1,11,24,0
0,50,24,0
0,58,24,0
1,44,24,0
2,25,24,0
0,21,24,0
0,9,24,0
0,18,24,0
0,16,24,0
0,66,24,0
2,57,24,0
0,71,24,0
0,63,24,0
0,37,24,0
0,0,24,0
1,17,24,0
0,46,24,0
0,57,24,0
1,26,24,0
0,45,24,0
0,35,24,0
0,1,24,0
0,54,24,0
0,19,24,0
0,31,24,0
0,64,24,0
0,66,24,0
0,40,24,0
7,15,24,3
0,68,24,0
0,53,24,0
0,68,24,0
1,15,24,0
0,51,24,0
0,67,24,0
0,6,24,0
0,1,24,1
1,39,24,0
0,27,24,0
0,11,24,0
0,64,24,0
0,56,24,0
0,19,24,0
0,72,24,0
0,65,24,0
0,69,24,0
0,48,24,0
1,4,24,1
0,62,24,0
0,11,24,0
1,8,24,0
0,70,24,0
0,56,24,0
5,17,24,0
0,45,24,0
0,13,24,0
0,69,24,0
0,44,24,0
0,15,24,1
0,1,24,1
0,72,24,0
3,13,24,0
1,56,24,0
0,44,24,0
0,36,24,0
2,17,24,0
0,51,24,0
2,16,24,0
0,46,24,0
0,49,24,0
0,33,24,0
0,54,24,0
0,13,24,0
0,28,24,0
0,40,24,0
1,6,24,0
0,61,24,0
0,45,24,0
0,65,24,0
0,64,24,0
1,68,24,0
0,61,24,0
23,24,24,0
2,31,24,0
0,63,24,0
1,42,24,0
0,4,24,0
0,65,24,0
0,55,24,0
0,59,24,0
0,71,24,0
0,30,24,0
1,47,24,0
0,58,24,0
0,62,24,1
0,36,24,0
0,11,24,0
0,30,24,0
0,50,24,0
0,24,24,0
