comm24,baseTime,shares,output
4,66,18,0
0,47,1,0
1,11,2,1
0,48,1,0
0,38,2,0
0,65,3,0
3,2,2,0
2,32,2,0
0,23,3,0
235,42,1197,35
462,17,230,92
415,41,1367,51
339,15,1023,119
5,70,523,2
54,35,277,7
426,28,535,71
144,33,204,14
68,49,353,8
198,17,173,30
24,52,383,2
48,44,412,3
15,68,280,4
32,42,222,10
13,54,146,7
992,16,1972,409
121,59,339,28
515,3,545,372
55,44,206,23
311,13,398,102
115,27,271,26
881,10,4340,431
32,51,217,4
13,63,154,1
89,66,1967,6
200,5,412,145
17,65,307,7
24,58,173,4
188,8,263,90
587,2,259,760
162,38,1082,57
752,8,1790,501
67,46,334,6
79,36,686,15
473,21,163,56
143,29,324,31
302,1,623,642
241,48,632,43
835,8,604,320
285,33,153,55
35,35,98,7
745,20,390,128
782,16,1148,233
62,42,238,20
235,10,196,53
620,24,318,53
480,4,389,280
1240,21,458,200
177,6,336,94
51,38,97,11
536,30,506,161
148,46,534,58
2,60,105,3
109,23,53,8
1345,12,346,187
7,66,316,1
27,34,104,4
55,45,182,17
11,72,210,2
1,56,4,0
147,3,823,206
124,2,451,173
120,41,283,34
115,1,277,189
31,56,153,3
363,19,400,91
19,63,122,1
496,32,2009,105
360,24,611,49
211,50,603,64
16,69,275,3
5,69,324,2
35,54,195,2
318,20,128,48
103,31,213,25
61,56,293,18
59,43,285,13
518,13,218,156
2,28,3,0
0,60,11,0
17,49,4,2
0,58,2,0
7,20,31,3
0,0,165,35
0,50,12,0
37,9,2,6
31,60,2,0
0,19,5,0
0,68,82,0
0,15,54,1
0,69,50,0
60,3,3,27
0,27,15,0
19,12,47,8
18,21,143,1
6,24,79,2
6,14,44,4
7,6,727,21
5,10,78,1
0,44,224,0
0,65,20,0
0,35,62,1
2,27,83,0
3,14,1,2
0,55,22,0
0,52,107,0
0,53,31,0
63,50,11,12
0,66,180,3
88,50,11,9
0,27,34,0
0,2,11,0
0,68,11,0
12,25,92,4
43,37,2,8
9,17,154,2
13,71,3,2
1,42,11,0
5,27,103,1
0,57,52,0
16,17,83,0
1,62,15,0
0,53,23,0
20,18,125,3
16,66,1,1
0,53,58,0
4,6,78,0
0,39,16,0
0,46,2,0
6,49,1,2
4,4,951,44
0,61,87,0
0,27,2,0
0,55,134,0
66,5,2,23
4,36,1,1
0,34,64,0
3,18,57,0
2,19,25,1
8,45,1,1
93,38,4,14
20,58,30,2
4,66,2,1
0,5,2,0
0,51,72,0
347,10,11,85
2,59,31,1
0,63,84,0
6,17,95,0
2,29,82,0
548,22,17,174
739,26,42,223
59,20,146,2
0,51,3,0
0,56,27,0
3,11,157,2
0,22,11,0
2,66,51,0
49,8,1,18
352,16,2,111
2,10,3,0
4,4,19,2
591,15,36,380
24,16,748,8
5,49,3,3
0,22,34,0
310,5,29,253
0,36,25,0
39,20,112,4
13,23,76,4
32,30,3,5
0,64,1,0
0,47,52,0
14,26,298,2
4,22,1,0
2,8,44,0
28,6,1,8
0,57,3,0
2,1,19,1
1,62,72,0
0,32,2,0
0,40,47,0
5,8,196,3
23,31,1,4
2,57,87,0
2,4,109,1
120,3,25,107
427,3,12,380
0,11,16,0
2,19,60,0
4,39,3,0
131,22,1,21
3,12,39,0
205,1,63,756
0,0,25,2
0,17,1,0
9,11,46,2
0,13,3,2
181,15,4,39
3,39,97,0
0,3,20,0
35,9,134,9
604,15,31,323
10,34,27,4
1,69,19,0
3,52,1,1
0,70,2,0
0,43,1,0
0,48,4,0
0,42,2,0
0,9,1,0
0,4,1,0
0,31,2,0
0,31,2,0
0,0,1,4
353,9,1392,278
88,17,167,21
150,20,228,16
3,60,361,3
10,30,88,0
149,18,276,19
2,72,228,0
39,25,76,4
0,0,238,96
2,65,366,5
5,52,204,2
534,26,596,64
3,70,130,4
0,63,61,5
129,11,284,57
62,20,374,10
18,40,151,4
98,43,1146,17
39,23,85,9
18,39,42,1
40,35,178,3
20,50,186,7
387,14,65,66
3,59,96,0
5,55,117,0
18,59,902,7
191,24,102,10
10,42,40,2
15,44,140,4
4,54,44,1
63,6,39,30
7,39,61,6
12,53,84,1
2,55,22,3
50,20,26,8
30,14,16,4
8,49,18,1
10,47,15,0
6,66,150,2
24,38,91,2
0,70,18,0
14,28,89,0
3,57,36,2
7,40,48,5
8,45,18,2
5,41,15,0
8,52,39,2
101,42,182,13
86,13,172,48
18,71,873,14
79,35,146,10
86,44,1364,20
49,36,167,2
18,50,509,9
48,2,104,56
8,45,102,3
86,32,285,7
15,31,53,3
28,28,127,4
16,57,1396,10
235,30,1459,40
1,64,89,1
29,37,128,4
10,58,88,0
4,50,158,4
29,29,75,1
67,8,62,35
7,50,103,3
50,34,99,7
3,67,67,2
45,33,161,2
53,2,30,45
10,64,423,3
1,46,75,0
53,10,25,16
1,44,20,0
1,44,44,1
4,29,26,1
67,26,266,17
7,54,111,0
41,38,130,1
5,45,26,0
0,66,40,0
2,57,20,0
18,40,239,0
0,70,103,0
35,25,37,0
37,1,135,79
26,7,64,3
9,51,372,1
37,32,78,4
2,65,84,1
20,39,57,5
3,66,47,0
6,47,151,5
6,47,153,4
5,60,143,0
119,21,119,18
1,60,166,4
15,4,2,8
5,69,47,2
1,66,63,2
88,11,139,21
15,48,227,4
3,54,71,1
16,43,66,2
2,58,92,0
71,20,242,22
23,40,330,1
38,37,118,5
3,46,67,6
78,15,78,23
15,61,55,3
37,12,73,18
5,1,42,25
33,30,89,11
34,59,148,10
2,66,26,0
8,29,35,6
29,8,34,7
41,7,46,36
199,25,221,53
137,11,140,23
10,60,276,6
231,22,40,16
21,50,143,7
18,31,63,5
52,23,147,10
194,25,259,22
0,0,47,22
19,43,72,1
90,25,97,12
8,31,4,0
3,65,36,2
253,9,527,52
11,71,131,1
210,30,680,28
155,24,218,24
478,25,350,61
119,16,35,19
12,59,353,3
42,43,380,30
355,23,209,55
195,11,115,48
0,0,119,193
4,69,112,1
15,57,107,5
230,23,178,14
305,15,250,36
40,46,278,13
166,7,177,58
105,14,112,21
161,17,292,34
12,67,72,2
47,1,73,93
25,39,106,2
16,47,155,3
89,22,61,8
14,55,126,2
65,12,57,10
15,61,156,0
0,68,47,0
0,0,136,92
375,16,413,67
160,16,123,23
79,12,148,23
7,55,66,0
99,15,72,14
92,23,112,14
49,42,557,16
1,64,73,0
150,24,69,3
7,58,165,0
621,21,354,63
15,41,103,5
20,30,81,14
9,50,110,2
28,31,97,7
300,9,436,189
152,16,100,25
167,36,357,74
7,39,41,3
16,57,110,2
14,49,124,3
43,39,60,5
35,36,81,9
166,23,165,35
1,38,4,1
3,49,66,1
0,53,1,0
7,65,311,2
7,57,140,1
1,50,35,1
125,9,87,38
28,55,217,3
15,43,155,3
0,56,78,9
4,50,192,4
6,38,28,1
160,21,58,2
173,22,41,5
65,29,187,12
162,15,69,10
34,27,65,2
8,46,46,4
335,6,80,98
114,27,56,17
57,35,120,25
0,61,1,0
1,9,3,1
7,51,12,1
3,32,5,1
6,36,11,1
23,15,127,13
3,17,4,0
4,33,3,0
34,21,23,20
3,37,1,2
7,36,13,1
2,48,19,0
13,32,25,9
4,50,1,0
2,3,1,4
58,19,21,19
15,44,213,5
13,5,1,6
2,34,16,0
5,42,12,0
12,20,4,2
43,23,20,1
5,33,41,1
3,35,22,2
1,72,20,0
2,39,20,0
3,26,19,0
284,12,4,106
4,42,34,2
5,23,26,1
19,26,4,1
13,55,13,1
17,32,49,2
1,46,12,0
0,65,2,0
2,67,25,0
10,42,29,3
1,36,1,0
2,69,4,1
39,20,183,7
19,20,18,1
0,67,2,0
6,48,21,0
87,12,15,23
18,5,14,13
0,67,30,0
10,10,5,10
1,55,18,0
1,40,3,0
21,1,84,139
1,59,6,0
28,14,4,9
1,54,1,0
15,33,2,2
0,64,2,0
15,36,757,4
0,54,21,0
1,2,19,3
0,70,2,0
157,11,118,78
16,13,19,2
18,30,24,0
1,41,3,0
3,45,24,0
2,31,1,0
0,68,3,0
0,71,24,0
4,28,20,0
8,32,21,0
0,62,1,0
2,44,15,1
1,38,20,1
6,26,15,0
4,35,2,0
1,29,2,0
0,62,2,0
3,2,20,1
3,33,13,0
0,64,1,0
6,22,2,0
1,49,21,0
5,25,2,3
0,56,2,0
4,9,2,1
2,28,2,0
76,11,17,14
1,46,1,0
0,56,1,0
1,51,2,0
12,22,4,1
2,34,1,0
21,23,1,2
2,47,2,1
5,32,2,1
0,50,18,0
0,53,35,0
4,40,2,0
5,1,21,8
1,30,15,0
6,33,135,2
4,4,1,1
2,39,1,0
0,39,1,0
8,16,1,4
5,13,2,2
3,38,1,0
0,62,1,0
0,60,15,0
1,51,14,0
1,37,3,0
0,31,19,0
0,68,16,0
0,3,1,0
0,29,1,0
0,49,1,0
0,11,17,0
14,52,133,17
19,40,93,26
0,0,58,30
5,58,28,13
18,67,99,7
121,61,1424,169
0,30,1,0
0,57,1,0
0,39,1,0
1,15,1,0
0,0,1,0
0,44,1,0
4,49,3,5
0,48,1,0
0,0,1,0
0,6,5,0
0,11,1,0
0,49,2,0
0,53,1,0
2,54,2,0
0,54,3,0
0,62,4,0
0,70,4,0
1,70,4,0
1,15,1,0
4,6,2,1
1,14,1,0
0,59,1,0
0,45,2,0
1,11,1,0
2,19,5,1
0,63,20,0
1,36,2,0
0,60,24,0
1,15,11,0
1,45,16,0
0,45,1,0
0,61,25,0
0,21,12,0
1,25,21,0
0,59,1,0
0,44,2,0
0,2,4,0
0,57,3,0
0,65,3,0
0,37,16,0
0,64,11,0
0,11,15,0
0,15,3,0
0,61,22,0
0,61,1,0
0,65,1,0
2,26,17,0
0,42,18,0
2,3,1,0
2,14,11,0
0,33,16,0
0,28,13,0
0,39,18,0
0,68,12,0
0,48,12,0
0,50,13,0
0,39,3,0
0,68,22,0
0,62,3,0
0,37,12,0
0,35,20,0
2,27,14,0
0,41,16,0
0,64,2,0
0,59,1,0
2,2,13,2
0,69,1,0
0,42,1,1
0,39,2,0
0,69,2,0
0,8,1,0
0,29,1,0
0,59,1,0
0,0,1,4
0,54,3,0
0,71,3,0
0,8,1,0
0,24,3,0
0,47,1,0
0,36,1,0
3,43,2,0
0,48,2,0
0,33,1,0
2,11,1,0
1,22,1,0
9,67,96,8
25,41,87,15
43,37,313,26
58,59,303,10
112,27,187,29
63,65,423,14
12,68,262,9
89,30,528,20
47,48,235,23
185,14,11,93
152,12,104,81
139,38,388,55
168,16,99,18
15,51,90,1
571,17,414,174
115,9,88,42
111,26,100,19
1,29,2489,0
7,67,3869,8
111,6,408,36
315,19,1481,25
116,3,36,114
1,50,13,0
4,63,42,0
12,46,21,2
5,39,28,1
19,35,14,1
132,22,36,27
49,20,13,16
5,65,107,1
24,21,4,5
34,27,15,6
5,2,20,10
208,16,20,21
101,21,18,5
125,24,45,14
54,6,42,8
1,65,36,0
3,70,16,0
6,61,31,0
9,61,22,0
5,51,24,0
16,38,38,0
87,15,34,16
1,45,20,0
76,16,17,6
88,24,23,8
52,17,46,7
3,49,1,0
4,65,28,0
320,21,536,71
26,44,39,5
0,63,4,0
19,32,5,4
3,42,5,1
14,3,18,10
10,53,30,0
26,37,37,8
5,62,77,0
12,30,35,0
1,36,28,0
1,70,18,0
18,63,26,3
47,10,47,5
0,34,19,1
16,50,12,0
1,56,17,0
24,13,35,3
3,56,12,0
26,46,84,7
2,69,62,2
16,4,24,37
143,23,14,11
60,9,50,10
156,7,33,37
21,67,1073,2
2,48,50,0
38,15,38,8
2,72,111,1
3,70,19,1
14,39,14,5
8,35,1,0
167,24,49,28
3,65,33,1
245,2,42,392
9,48,92,2
116,24,63,8
77,21,439,14
368,16,29,106
0,56,1,0
0,40,1,0
0,15,3,0
0,20,1,0
0,25,3,0
2,13,2,0
0,32,1,0
0,72,1,0
0,69,4,0
0,69,14,0
0,24,2,0
0,70,1,0
0,8,1,0
0,0,1,2
1,13,1,1
0,13,5,0
0,58,3,0
0,64,2,0
1,3,1,2
0,9,1,2
0,67,1,0
3,21,20,0
0,65,1,0
5,12,5,0
0,58,1,0
0,64,3,0
5,20,5,0
0,33,2,0
0,44,1,0
2,6,1,0
0,69,1,0
0,6,5,0
0,66,1,0
2,34,3,0
0,60,2,0
0,35,1,0
0,48,12,0
0,18,8,0
0,37,1,0
0,47,1,0
0,5,13,0
0,45,1,0
0,6,2,0
0,30,21,0
3,25,20,1
0,31,1,0
0,54,2,0
2,9,1,0
0,69,1,0
0,7,2,0
2,3,6,1
0,24,1,0
0,13,57,0
0,15,3,0
0,66,63,0
0,56,2,0
1,30,1,0
0,21,12,0
0,28,1,0
0,59,1,0
1,13,1,0
0,0,83,0
1,4,1,2
0,51,5,0
0,43,1,0
0,8,1,0
3,25,1,0
1,21,5,0
0,65,2,0
0,32,3,0
0,30,2,0
0,63,1,0
0,36,3,0
0,69,2,0
0,45,4,0
0,46,3,0
0,37,2,0
0,34,1,0
0,49,1,0
1,35,55,0
0,50,3,0
0,72,1,0
0,48,2,0
0,57,5,0
0,29,1,0
1,37,13,0
0,46,4,0
0,4,1,0
3,23,14,0
0,22,3,0
0,67,20,0
0,30,7,0
1,54,1,0
0,12,1,0
0,2,2,0
0,5,2,0
0,45,1,0
0,33,2,0
1,1,1,0
0,0,1,0
0,21,2,0
0,29,30,2
0,43,18,0
0,56,2,0
0,51,2,0
0,36,1,0
0,64,1,0
0,53,2,0
0,23,2,0
9,22,3,0
0,28,2,0
0,48,13,0
0,8,1,0
0,61,1,0
4,24,21,0
0,7,3,1
0,30,1,0
0,56,1,0
1,17,1,0
0,51,1,0
0,47,2,0
0,9,12,0
0,44,1,0
6,15,6,0
1,37,4,0
0,46,3,0
0,49,2,0
2,25,3,0
2,16,15,1
0,8,1,0
0,64,2,0
1,7,1,0
1,29,11,0
53,15,163,25
0,47,94,4
1,51,43,7
1,70,56,0
16,29,51,14
7,49,62,4
24,39,107,18
12,50,20,4
40,16,120,11
4,12,69,19
38,51,30,3
23,53,24,10
26,13,51,28
139,62,434,60
42,12,50,21
94,57,167,56
24,48,55,11
26,25,80,16
4,70,58,12
14,47,71,27
1,48,24,1
70,31,130,54
6,72,34,1
32,38,57,6
1,60,47,4
15,50,40,7
7,53,56,6
6,44,28,1
4,53,19,9
14,36,34,1
13,36,49,0
27,28,1,1
5,58,20,1
18,37,46,3
9,6,28,13
58,39,83,14
82,59,171,102
47,4,31,60
1,67,375,29
34,40,84,43
21,13,71,38
1,60,20,4
95,15,56,36
99,6,39,61
100,28,138,6
121,24,38,5
7,40,46,1
34,14,18,29
43,40,149,20
23,17,30,7
7,45,54,3
21,64,52,8
42,16,62,6
25,9,12,43
5,61,48,7
24,48,308,35
19,8,63,21
18,35,38,4
13,34,21,6
0,48,133,2
17,39,139,2
23,3,295,123
16,2,158,47
13,42,198,1
13,45,125,1
4,50,110,5
40,28,107,27
5,69,71,2
32,43,137,7
1,64,295,0
62,27,105,7
4,1,61,13
31,32,54,2
42,43,100,17
32,32,84,11
3,52,88,2
58,23,37,0
71,26,48,1
124,6,39,14
26,6,33,20
9,15,112,27
762,22,326,14
463,15,588,22
2,52,72,2
20,16,68,30
12,68,50,4
5,62,415,3
4,63,81,2
6,50,96,0
4,11,41,19
9,12,85,57
23,7,35,47
33,24,62,11
26,44,55,1
69,21,339,11
42,24,48,12
17,42,34,7
1,64,65,1
31,39,74,2
15,42,30,2
53,19,39,18
11,54,88,5
3,60,145,1
1,55,69,0
47,45,97,7
12,20,41,21
2,48,39,1
16,21,113,37
52,34,108,3
20,27,43,16
3,62,66,5
10,50,53,0
2,68,30,1
20,56,47,3
26,30,545,3
1,2,31,32
28,21,56,18
42,22,53,8
0,7,85,0
0,48,1,0
0,32,1,0
8,57,1366,4
0,13,317,0
21,47,742,2
0,41,4,0
0,51,13,0
0,45,23,0
0,2,24,0
1,11,64,0
0,61,362,0
3,29,14,0
0,41,40,0
12,14,93,1
2,2,208,9
0,58,3,0
0,42,2,0
0,64,347,0
0,46,1,0
0,56,49,0
2,1,4,3
2,7,3,0
8,31,299,0
9,20,84,0
19,11,1,7
2,57,292,0
6,46,770,1
2,54,285,0
7,17,28,0
0,54,186,1
2,29,86,0
0,62,37,1
1,67,371,1
9,21,2,0
0,69,1,0
0,30,1,0
0,45,75,1
0,52,1,0
2,7,94,0
0,28,1,0
2,30,51,0
0,62,186,0
9,26,221,1
24,43,1036,1
0,60,194,0
0,5,76,0
23,22,304,1
34,47,2692,36
15,28,187,2
10,29,48,1
0,71,25,0
0,15,2,0
17,19,219,1
0,59,114,1
1,2,63,3
2,40,190,0
0,70,59,0
3,7,65,1
1,64,161,0
0,33,63,0
2,28,4,0
2,59,123,2
3,7,5,1
0,72,38,0
0,59,94,0
0,65,1,0
0,34,4,0
0,24,6,0
0,51,23,0
0,69,61,1
0,63,1,0
3,36,3,1
3,13,11,1
0,61,65,0
1,50,209,0
4,42,176,0
2,33,195,0
0,42,3,1
0,66,43,0
17,17,196,5
1,17,1,1
0,10,94,0
1,10,4,1
0,1,2,0
1,37,36,0
81,22,816,22
1,25,14,0
8,18,294,9
0,52,6,0
2,26,12,1
0,65,40,0
0,55,131,0
1,55,387,0
0,56,102,0
47,12,3,24
1,58,215,0
5,7,166,5
7,26,63,0
2,33,2,0
6,12,147,1
0,71,78,0
0,71,107,0
1,46,432,0
2,14,15,0
2,57,253,0
0,66,96,0
7,5,322,4
0,69,2,0
3,24,36,0
0,23,3,0
0,60,140,0
1,53,113,0
0,52,3,0
1,58,2,0
0,41,69,0
7,15,43,0
1,38,104,0
2,26,1,0
0,48,156,0
5,21,1,1
0,71,13,0
5,14,266,1
11,18,110,2
10,20,21,1
3,35,4,0
0,66,2,0
17,5,147,4
0,61,346,0
1,48,263,1
0,34,1,0
1,40,1,0
2,30,19,0
3,15,3,0
2,16,22,1
0,15,2,0
11,6,171,11
3,32,133,1
2,42,2,0
1,45,2,0
0,70,2,0
1,65,16,0
6,6,228,8
0,57,100,0
1,51,31,1
1,46,177,0
10,1,478,18
0,54,118,0
2,33,19,0
8,51,317,0
0,7,3,0
0,70,96,0
6,1,65,14
1,36,6,0
1,47,43,1
1,41,180,0
1,45,187,0
4,45,3,0
0,61,22,0
1,30,47,0
1,18,36,1
12,13,209,5
19,8,147,5
2,33,97,1
0,42,4,0
2,26,28,0
18,14,195,6
11,22,129,0
0,28,2,0
1,40,227,0
1,41,1,0
1,21,26,0
0,28,2,0
0,21,2,0
0,14,57,0
0,46,34,0
0,30,1,0
2,55,240,0
3,60,279,0
2,56,88,1
4,63,19,0
5,55,1,0
8,41,12,0
0,71,16,1
2,48,16,0
4,47,4,1
0,54,1,0
1,57,2,0
9,32,3,1
59,18,25,21
285,6,398,115
8,31,4,1
7,10,3,4
87,11,22,35
0,0,19,56
8,50,75,4
99,13,62,29
3,28,17,2
10,4,3,3
1,46,1,2
5,34,24,0
31,10,4,6
40,29,58,7
38,25,43,7
27,34,19,2
1,46,11,0
282,22,11,24
0,64,1,0
29,32,40,10
104,18,40,28
7,39,21,3
125,18,103,33
294,8,479,136
4,28,3,2
12,25,88,3
23,16,180,5
3,67,129,2
19,8,191,15
19,21,96,2
4,42,87,0
8,40,171,4
25,4,172,27
0,64,1,0
4,54,99,0
7,24,83,0
10,16,49,3
14,33,108,3
7,44,132,1
7,1,78,3
10,18,73,5
0,41,63,0
40,7,149,12
0,45,1,0
2,58,41,1
13,29,24,0
1,62,21,0
12,36,196,2
0,0,122,85
133,21,153,14
2,63,110,0
0,54,4,0
3,45,24,0
2,59,3,1
1,58,121,0
44,7,138,33
0,55,47,0
0,52,39,0
3,39,55,0
2,68,49,2
1,61,84,0
2,64,37,0
52,9,51,7
74,23,85,4
2,58,108,0
0,19,1,0
0,23,1,0
0,22,2,0
0,40,1,0
0,40,1,0
0,50,1,0
0,43,1,0
0,25,1,0
0,34,1,0
0,57,1,0
8,5,1,0
0,45,1,0
0,58,1,0
0,36,1,0
21,66,313,3
272,33,415,63
604,26,804,116
96,18,200,26
158,7,4,75
270,24,583,57
0,5,20,0
0,45,3,0
0,65,1,0
1,12,1,1
0,60,1,0
0,50,1,0
0,27,1,0
4,16,2,1
0,15,1,1
4,68,1,0
1,31,19,0
0,15,2,0
1,28,8,0
0,52,2,0
0,31,4,1
0,49,1,0
0,29,17,0
0,3,2,0
0,65,1,0
0,51,1,1
2,13,22,0
0,63,2,0
10,22,2,0
1,45,1,0
8,8,1,4
0,53,1,0
0,36,6,0
0,67,1,0
0,63,1,0
0,0,52,0
2,16,1,0
0,66,2,0
0,6,1,1
0,72,5,0
0,20,9,0
1,35,2,0
0,14,1,0
0,22,1,0
0,63,3,0
1,36,3,0
0,44,2,0
1,13,1,0
1,56,3,0
0,30,11,0
3,7,1,0
1,42,15,0
0,30,13,0
0,35,11,0
0,60,4,0
1,9,3,0
0,31,1,0
0,8,1,0
9,10,2,1
0,41,1,0
0,39,1,0
366,15,654,110
5,67,280,1
165,3,729,161
344,24,1064,44
274,18,309,86
92,25,262,25
102,49,2030,9
20,62,883,3
9,48,290,2
54,5,765,61
2,49,36,2
57,42,824,35
104,46,22,37
94,39,499,8
335,5,848,188
16,48,39,3
12,35,79,3
57,59,586,8
75,7,34,76
18,44,201,6
422,11,632,252
146,54,1084,15
130,25,22,35
44,2,66,37
422,30,3722,91
357,15,721,67
43,62,1077,9
464,30,3967,142
0,0,251,336
320,28,1744,115
9,72,219,1
75,35,726,37
376,8,20,22
6,50,49,8
118,41,2992,43
0,0,564,424
79,51,793,24
413,6,3108,322
89,16,127,25
261,30,73,35
68,29,40,6
5,59,55,1
67,18,55,4
60,1,104,195
212,6,152,120
24,52,96,5
295,11,149,68
48,35,75,10
47,37,55,8
191,5,121,111
39,49,65,15
87,3,104,201
13,51,131,3
194,20,52,23
134,20,37,16
141,5,96,114
87,2,68,114
14,38,45,7
7,56,118,1
58,18,43,6
12,51,98,1
9,51,70,1
5,52,201,0
81,31,171,7
243,23,163,22
6,70,120,3
22,67,56,3
192,20,148,32
6,72,105,2
126,11,93,30
10,54,68,4
1,53,28,0
13,60,35,3
19,56,105,6
144,30,236,2
11,28,77,3
226,15,98,24
15,2,434,30
2,59,297,1
3,53,287,0
7,45,230,1
102,26,55,3
3,46,235,1
0,49,18,0
3,67,234,0
18,38,788,2
0,48,272,1
2,39,42,0
3,53,241,1
8,56,142,1
31,46,738,8
91,24,111,2
702,3,4796,527
0,72,283,2
2,53,65,0
86,35,457,6
60,34,929,5
8,56,291,0
66,16,86,2
1,59,226,0
489,16,1665,66
36,40,649,6
58,43,1685,12
189,10,1189,53
20,55,3829,0
45,4,335,89
11,47,331,0
0,68,202,0
47,69,7461,7
3,50,1162,1
17,29,280,1
11,61,107,2
0,68,155,1
0,68,79,0
10,46,379,2
1,37,45,1
21,38,419,2
4,59,1213,1
801,22,1119,9
20,10,2,6
11,53,2410,0
10,39,783,3
272,12,191,15
74,1,367,106
169,5,1762,99
2,71,174,0
37,21,142,9
185,5,163,198
98,29,759,20
352,24,108,4
8,37,108,1
256,20,2,34
276,23,130,2
99,21,316,10
266,15,1292,17
159,18,629,12
96,13,218,7
419,13,138,11
63,11,146,5
132,30,126,9
5,54,70,0
16,44,163,3
47,36,112,2
1,62,160,0
45,25,544,8
191,8,72,93
10,44,138,0
207,10,104,57
58,22,37,3
328,29,233,4
3,17,2,1
0,71,2,1
6,27,111,0
1,62,35,1
4,3,2,0
3,59,88,3
4,11,3,3
25,2,125,20
4,28,39,0
0,57,18,0
0,69,41,1
0,67,236,0
159,19,158,13
0,47,3,0
5,43,16,0
33,9,32,3
7,28,1,0
6,16,25,1
1,45,35,0
10,3,65,6
0,68,14,0
0,37,27,0
2,50,2,2
0,30,2,0
21,26,24,1
9,59,155,2
0,63,4,0
0,38,26,1
1,69,36,0
3,30,18,2
0,2,4,0
1,22,3,0
0,56,25,2
0,37,13,0
0,41,1,0
1,21,1,2
0,14,1,1
1,70,101,2
8,15,2,0
22,24,34,0
3,14,3,0
2,22,1,1
0,3,5,0
34,3,32,5
139,16,444,26
0,53,2,0
6,44,833,3
0,61,2,0
5,34,5,2
10,10,21,4
0,61,3,0
8,43,29,0
35,14,570,9
0,30,17,4
0,67,3,0
0,49,2,0
1,39,3,0
0,67,13,0
0,64,6,0
0,67,1,0
0,41,3,0
0,42,1,0
0,5,1,0
1,11,1,0
0,50,3,0
0,58,1,0
1,44,3,0
2,25,28,0
0,21,1,0
0,9,4,0
0,18,2,0
0,16,5,0
0,66,12,0
2,57,1,0
0,71,2,0
0,63,3,0
0,37,7,0
0,0,2,0
1,17,5,0
0,46,1,0
0,57,2,0
1,26,3,0
0,45,1,0
0,35,3,0
0,1,1,0
0,54,4,0
0,19,1,0
0,31,2,0
0,64,1,0
0,66,3,0
0,40,2,0
7,15,1,3
0,68,2,0
0,53,2,0
0,68,1,0
1,15,4,0
0,51,3,0
0,67,1,0
0,6,2,0
0,1,2,1
1,39,27,0
0,27,3,0
0,11,1,0
0,64,6,0
0,56,1,0
0,19,5,0
0,72,3,0
0,65,5,0
0,69,3,0
0,48,5,0
1,4,5,1
0,62,2,0
0,11,11,0
1,8,1,0
0,70,5,0
0,56,1,0
5,17,14,0
0,45,5,0
0,13,3,0
0,69,5,0
0,44,2,0
0,15,3,1
0,1,2,1
0,72,2,0
3,13,3,0
1,56,3,0
0,44,2,0
0,36,2,0
2,17,3,0
0,51,2,0
2,16,1,0
0,46,2,0
0,49,3,0
0,33,6,0
0,54,2,0
0,13,4,0
0,28,4,0
0,40,2,0
1,6,4,0
0,61,2,0
0,45,8,0
0,65,3,0
0,64,4,0
1,68,13,0
0,61,6,0
23,24,3,0
2,31,26,0
0,63,5,0
1,42,19,0
0,4,2,0
0,65,6,0
0,55,2,0
0,59,3,0
0,71,3,0
0,30,1,0
1,47,25,0
0,58,2,0
