comm24,baseTime,shares,hrs,output
17,65,307,24,7
24,58,173,24,4
188,8,263,24,90
587,2,259,24,760
162,38,1082,24,57
752,8,1790,24,501
67,46,334,24,6
79,36,686,24,15
473,21,163,24,56
143,29,324,24,31
302,1,623,24,642
241,48,632,24,43
835,8,604,24,320
285,33,153,24,55
35,35,98,24,7
745,20,390,24,128
782,16,1148,24,233
62,42,238,24,20
235,10,196,24,53
620,24,318,24,53
480,4,389,24,280
1240,21,458,24,200
177,6,336,24,94
51,38,97,24,11
536,30,506,24,161
148,46,534,24,58
2,60,105,24,3
109,23,53,24,8
1345,12,346,24,187
7,66,316,24,1
27,34,104,24,4
55,45,182,24,17
11,72,210,24,2
1,56,4,24,0
147,3,823,24,206
124,2,451,24,173
120,41,283,24,34
115,1,277,24,189
31,56,153,24,3
363,19,400,24,91
19,63,122,24,1
496,32,2009,24,105
360,24,611,24,49
211,50,603,24,64
16,69,275,24,3
5,69,324,24,2
35,54,195,24,2
318,20,128,24,48
103,31,213,24,25
61,56,293,17,18
59,43,285,18,13
518,13,218,24,156
2,28,3,24,0
0,60,11,24,0
17,49,4,24,2
0,58,2,24,0
7,20,31,24,3
0,0,165,24,35
0,50,12,24,0
37,9,2,24,6
31,60,2,24,0
0,19,5,24,0
0,68,82,24,0
0,15,54,24,1
0,69,50,24,0
60,3,3,24,27
0,27,15,24,0
19,12,47,24,8
18,21,143,24,1
6,24,79,24,2
6,14,44,24,4
7,6,727,24,21
5,10,78,24,1
0,44,224,24,0
0,65,20,24,0
0,35,62,24,1
2,27,83,24,0
3,14,1,24,2
0,55,22,24,0
0,52,107,24,0
0,53,31,24,0
63,50,11,24,12
0,66,180,24,3
88,50,11,24,9
0,27,34,24,0
0,2,11,24,0
0,68,11,24,0
12,25,92,24,4
43,37,2,24,8
9,17,154,24,2
13,71,3,24,2
1,42,11,24,0
5,27,103,24,1
0,57,52,24,0
16,17,83,24,0
1,62,15,24,0
0,53,23,24,0
20,18,125,24,3
16,66,1,24,1
0,53,58,24,0
4,6,78,24,0
0,39,16,24,0
0,46,2,24,0
6,49,1,24,2
4,4,951,24,44
0,61,87,24,0
0,27,2,24,0
0,55,134,24,0
66,5,2,24,23
4,36,1,24,1
0,34,64,24,0
3,18,57,24,0
2,19,25,24,1
8,45,1,24,1
93,38,4,24,14
20,58,30,24,2
4,66,2,24,1
0,5,2,24,0
0,51,72,24,0
347,10,11,24,85
2,59,31,24,1
0,63,84,24,0
6,17,95,24,0
2,29,82,24,0
548,22,17,24,174
739,26,42,24,223
59,20,146,24,2
0,51,3,24,0
0,56,27,24,0
3,11,157,24,2
0,22,11,24,0
2,66,51,24,0
49,8,1,24,18
352,16,2,24,111
2,10,3,24,0
4,4,19,24,2
591,15,36,24,380
24,16,748,24,8
5,49,3,24,3
0,22,34,24,0
310,5,29,24,253
0,36,25,24,0
39,20,112,24,4
13,23,76,24,4
32,30,3,24,5
0,64,1,6,0
0,47,52,22,0
14,26,298,24,2
4,22,1,24,0
2,8,44,24,0
28,6,1,24,8
0,57,3,8,0
2,1,19,24,1
1,62,72,3,0
0,32,2,24,0
0,40,47,23,0
5,8,196,24,3
23,31,1,24,4
2,57,87,4,0
2,4,109,24,1
120,3,25,24,107
427,3,12,24,380
0,11,16,24,0
2,19,60,24,0
4,39,3,9,0
131,22,1,24,21
3,12,39,24,0
205,1,63,24,756
0,0,25,24,2
0,17,1,24,0
9,11,46,24,2
0,13,3,24,2
181,15,4,24,39
3,39,97,1,0
0,3,20,24,0
35,9,134,24,9
604,15,31,21,323
10,34,27,24,4
1,69,19,24,0
3,52,1,24,1
0,70,2,24,0
0,43,1,24,0
0,48,4,24,0
0,42,2,24,0
0,9,1,24,0
0,4,1,24,0
0,31,2,24,0
0,31,2,24,0
0,0,1,24,4
353,9,1392,24,278
88,17,167,24,21
150,20,228,24,16
3,60,361,24,3
10,30,88,24,0
149,18,276,24,19
2,72,228,24,0
39,25,76,24,4
0,0,238,24,96
2,65,366,24,5
5,52,204,24,2
534,26,596,24,64
3,70,130,24,4
0,63,61,24,5
129,11,284,24,57
62,20,374,24,10
18,40,151,24,4
98,43,1146,24,17
39,23,85,24,9
18,39,42,24,1
40,35,178,24,3
20,50,186,24,7
387,14,65,24,66
3,59,96,24,0
5,55,117,24,0
18,59,902,24,7
191,24,102,24,10
10,42,40,24,2
15,44,140,24,4
4,54,44,24,1
63,6,39,24,30
7,39,61,24,6
12,53,84,24,1
2,55,22,24,3
50,20,26,24,8
30,14,16,24,4
8,49,18,24,1
10,47,15,24,0
6,66,150,24,2
24,38,91,24,2
0,70,18,24,0
14,28,89,24,0
3,57,36,24,2
7,40,48,24,5
8,45,18,24,2
5,41,15,24,0
8,52,39,24,2
101,42,182,24,13
86,13,172,24,48
18,71,873,24,14
79,35,146,24,10
86,44,1364,24,20
49,36,167,24,2
18,50,509,24,9
48,2,104,24,56
8,45,102,24,3
86,32,285,24,7
15,31,53,24,3
28,28,127,24,4
16,57,1396,24,10
235,30,1459,24,40
1,64,89,24,1
29,37,128,24,4
10,58,88,24,0
4,50,158,24,4
29,29,75,24,1
67,8,62,24,35
7,50,103,24,3
50,34,99,24,7
3,67,67,24,2
45,33,161,24,2
53,2,30,24,45
10,64,423,24,3
1,46,75,24,0
53,10,25,24,16
1,44,20,24,0
1,44,44,24,1
4,29,26,24,1
67,26,266,24,17
7,54,111,24,0
41,38,130,24,1
5,45,26,24,0
0,66,40,24,0
2,57,20,24,0
18,40,239,24,0
0,70,103,24,0
35,25,37,24,0
37,1,135,24,79
26,7,64,24,3
9,51,372,24,1
37,32,78,24,4
2,65,84,24,1
20,39,57,24,5
3,66,47,24,0
6,47,151,24,5
6,47,153,24,4
5,60,143,24,0
119,21,119,24,18
1,60,166,24,4
15,4,2,24,8
5,69,47,24,2
1,66,63,24,2
88,11,139,24,21
15,48,227,24,4
3,54,71,24,1
16,43,66,24,2
2,58,92,24,0
71,20,242,24,22
23,40,330,24,1
38,37,118,24,5
3,46,67,24,6
78,15,78,24,23
15,61,55,24,3
37,12,73,24,18
5,1,42,24,25
33,30,89,24,11
34,59,148,24,10
2,66,26,24,0
8,29,35,24,6
29,8,34,24,7
41,7,46,24,36
199,25,221,24,53
137,11,140,24,23
10,60,276,24,6
231,22,40,24,16
21,50,143,24,7
18,31,63,24,5
52,23,147,24,10
194,25,259,24,22
0,0,47,24,22
19,43,72,24,1
90,25,97,24,12
8,31,4,24,0
3,65,36,24,2
253,9,527,24,52
11,71,131,24,1
210,30,680,24,28
155,24,218,24,24
478,25,350,24,61
119,16,35,24,19
12,59,353,24,3
42,43,380,24,30
355,23,209,24,55
195,11,115,24,48
0,0,119,24,193
4,69,112,24,1
15,57,107,24,5
230,23,178,24,14
305,15,250,24,36
40,46,278,24,13
166,7,177,24,58
105,14,112,24,21
161,17,292,24,34
12,67,72,24,2
47,1,73,24,93
25,39,106,24,2
16,47,155,24,3
89,22,61,24,8
14,55,126,24,2
65,12,57,24,10
15,61,156,24,0
0,68,47,24,0
0,0,136,24,92
375,16,413,24,67
160,16,123,24,23
79,12,148,24,23
7,55,66,24,0
99,15,72,24,14
92,23,112,24,14
49,42,557,24,16
1,64,73,24,0
150,24,69,24,3
7,58,165,24,0
621,21,354,24,63
15,41,103,24,5
20,30,81,24,14
9,50,110,24,2
28,31,97,24,7
300,9,436,24,189
152,16,100,24,25
167,36,357,24,74
7,39,41,24,3
16,57,110,24,2
14,49,124,24,3
43,39,60,24,5
35,36,81,24,9
166,23,165,24,35
1,38,4,24,1
3,49,66,24,1
0,53,1,24,0
7,65,311,24,2
7,57,140,24,1
1,50,35,24,1
125,9,87,24,38
28,55,217,24,3
15,43,155,24,3
0,56,78,24,9
4,50,192,24,4
6,38,28,24,1
160,21,58,24,2
173,22,41,24,5
65,29,187,24,12
162,15,69,24,10
34,27,65,24,2
8,46,46,24,4
335,6,80,24,98
114,27,56,24,17
57,35,120,20,25
0,61,1,24,0
1,9,3,24,1
7,51,12,24,1
3,32,5,24,1
6,36,11,24,1
23,15,127,24,13
3,17,4,24,0
4,33,3,24,0
34,21,23,24,20
3,37,1,24,2
7,36,13,24,1
2,48,19,24,0
13,32,25,24,9
4,50,1,24,0
2,3,1,24,4
58,19,21,24,19
15,44,213,24,5
13,5,1,24,6
2,34,16,24,0
5,42,12,24,0
12,20,4,24,2
43,23,20,24,1
5,33,41,24,1
3,35,22,24,2
1,72,20,24,0
2,39,20,24,0
3,26,19,24,0
284,12,4,24,106
4,42,34,24,2
5,23,26,24,1
19,26,4,24,1
13,55,13,24,1
17,32,49,24,2
1,46,12,24,0
0,65,2,24,0
2,67,25,24,0
10,42,29,24,3
1,36,1,24,0
2,69,4,24,1
39,20,183,24,7
19,20,18,24,1
0,67,2,24,0
6,48,21,24,0
87,12,15,24,23
18,5,14,24,13
0,67,30,24,0
10,10,5,24,10
1,55,18,24,0
1,40,3,24,0
21,1,84,24,139
1,59,6,24,0
28,14,4,24,9
1,54,1,24,0
15,33,2,24,2
0,64,2,24,0
15,36,757,24,4
0,54,21,24,0
1,2,19,24,3
0,70,2,24,0
157,11,118,24,78
16,13,19,24,2
18,30,24,24,0
1,41,3,24,0
3,45,24,24,0
2,31,1,24,0
0,68,3,24,0
0,71,24,24,0
4,28,20,24,0
8,32,21,24,0
0,62,1,24,0
2,44,15,24,1
1,38,20,24,1
6,26,15,24,0
4,35,2,24,0
1,29,2,24,0
0,62,2,9,0
3,2,20,24,1
3,33,13,24,0
0,64,1,3,0
6,22,2,24,0
1,49,21,18,0
5,25,2,24,3
0,56,2,10,0
4,9,2,24,1
2,28,2,24,0
76,11,17,24,14
1,46,1,19,0
0,56,1,9,0
1,51,2,13,0
12,22,4,24,1
2,34,1,24,0
21,23,1,24,2
2,47,2,17,1
5,32,2,24,1
0,50,18,13,0
0,53,35,2,0
4,40,2,5,0
5,1,21,24,8
1,30,15,12,0
6,33,135,9,2
4,4,1,24,1
2,39,1,1,0
0,39,1,1,0
8,16,1,24,4
5,13,2,24,2
3,38,1,1,0
0,62,1,24,0
0,60,15,24,0
1,51,14,24,0
1,37,3,24,0
0,31,19,24,0
0,68,16,24,0
0,3,1,24,0
0,29,1,24,0
0,49,1,24,0
0,11,17,24,0
14,52,133,24,17
19,40,93,24,26
0,0,58,24,30
5,58,28,24,13
18,67,99,24,7
121,61,1424,24,169
0,30,1,24,0
0,57,1,24,0
0,39,1,24,0
1,15,1,24,0
0,0,1,24,0
0,44,1,24,0
4,49,3,24,5
0,48,1,24,0
0,0,1,24,0
0,6,5,24,0
0,11,1,24,0
0,49,2,24,0
0,53,1,24,0
2,54,2,24,0
0,54,3,24,0
0,62,4,24,0
0,70,4,24,0
1,70,4,24,0
1,15,1,24,0
4,6,2,24,1
1,14,1,24,0
0,59,1,24,0
0,45,2,24,0
1,11,1,24,0
2,19,5,24,1
0,63,20,24,0
1,36,2,24,0
0,60,24,24,0
1,15,11,24,0
1,45,16,24,0
0,45,1,24,0
0,61,25,24,0
0,21,12,24,0
1,25,21,24,0
0,59,1,24,0
0,44,2,24,0
0,2,4,24,0
0,57,3,24,0
0,65,3,24,0
0,37,16,24,0
0,64,11,24,0
0,11,15,24,0
0,15,3,24,0
0,61,22,24,0
0,61,1,24,0
0,65,1,24,0
2,26,17,24,0
0,42,18,24,0
2,3,1,24,0
2,14,11,24,0
0,33,16,24,0
0,28,13,24,0
0,39,18,24,0
0,68,12,24,0
0,48,12,24,0
0,50,13,24,0
0,39,3,24,0
0,68,22,24,0
0,62,3,24,0
0,37,12,24,0
0,35,20,24,0
2,27,14,24,0
0,41,16,24,0
0,64,2,24,0
0,59,1,24,0
2,2,13,24,2
0,69,1,24,0
0,42,1,24,1
0,39,2,24,0
0,69,2,24,0
0,8,1,24,0
0,29,1,24,0
0,59,1,24,0
0,0,1,24,4
0,54,3,24,0
0,71,3,24,0
0,8,1,24,0
0,24,3,24,0
0,47,1,24,0
0,36,1,24,0
3,43,2,24,0
0,48,2,24,0
0,33,1,24,0
2,11,1,24,0
1,22,1,24,0
9,67,96,24,8
25,41,87,24,15
43,37,313,24,26
58,59,303,24,10
112,27,187,24,29
63,65,423,24,14
12,68,262,24,9
89,30,528,24,20
47,48,235,24,23
185,14,11,24,93
152,12,104,24,81
139,38,388,24,55
168,16,99,24,18
15,51,90,1,1
571,17,414,24,174
115,9,88,24,42
111,26,100,15,19
1,29,2489,24,0
7,67,3869,24,8
111,6,408,24,36
315,19,1481,24,25
116,3,36,24,114
1,50,13,24,0
4,63,42,24,0
12,46,21,24,2
5,39,28,24,1
19,35,14,24,1
132,22,36,24,27
49,20,13,24,16
5,65,107,24,1
24,21,4,24,5
34,27,15,24,6
5,2,20,24,10
208,16,20,24,21
101,21,18,24,5
125,24,45,24,14
54,6,42,24,8
1,65,36,24,0
3,70,16,24,0
6,61,31,24,0
9,61,22,24,0
5,51,24,24,0
16,38,38,24,0
87,15,34,24,16
1,45,20,24,0
76,16,17,24,6
88,24,23,24,8
52,17,46,24,7
3,49,1,24,0
4,65,28,24,0
320,21,536,24,71
26,44,39,24,5
0,63,4,24,0
19,32,5,24,4
3,42,5,24,1
14,3,18,24,10
10,53,30,24,0
26,37,37,24,8
5,62,77,24,0
12,30,35,24,0
1,36,28,24,0
1,70,18,24,0
18,63,26,24,3
47,10,47,24,5
0,34,19,24,1
16,50,12,24,0
1,56,17,24,0
24,13,35,24,3
3,56,12,24,0
26,46,84,24,7
2,69,62,24,2
16,4,24,24,37
143,23,14,24,11
60,9,50,24,10
156,7,33,24,37
21,67,1073,24,2
2,48,50,24,0
38,15,38,24,8
2,72,111,24,1
3,70,19,24,1
14,39,14,24,5
8,35,1,24,0
167,24,49,24,28
3,65,33,24,1
245,2,42,24,392
9,48,92,24,2
116,24,63,24,8
77,21,439,24,14
368,16,29,23,106
0,56,1,24,0
0,40,1,24,0
0,15,3,24,0
0,20,1,24,0
0,25,3,24,0
2,13,2,24,0
0,32,1,24,0
0,72,1,24,0
0,69,4,24,0
0,69,14,24,0
0,24,2,24,0
0,70,1,24,0
0,8,1,24,0
0,0,1,24,2
1,13,1,24,1
0,13,5,24,0
0,58,3,24,0
0,64,2,24,0
1,3,1,24,2
0,9,1,24,2
0,67,1,24,0
3,21,20,24,0
0,65,1,24,0
5,12,5,24,0
0,58,1,24,0
0,64,3,24,0
5,20,5,24,0
0,33,2,24,0
0,44,1,24,0
2,6,1,24,0
0,69,1,24,0
0,6,5,24,0
0,66,1,24,0
2,34,3,24,0
0,60,2,24,0
0,35,1,24,0
0,48,12,24,0
0,18,8,24,0
0,37,1,24,0
0,47,1,24,0
0,5,13,24,0
0,45,1,24,0
0,6,2,24,0
0,30,21,24,0
3,25,20,24,1
0,31,1,24,0
0,54,2,24,0
2,9,1,24,0
0,69,1,24,0
0,7,2,24,0
2,3,6,24,1
0,24,1,24,0
0,13,57,24,0
0,15,3,24,0
0,66,63,24,0
0,56,2,24,0
1,30,1,24,0
0,21,12,24,0
0,28,1,24,0
0,59,1,24,0
1,13,1,24,0
0,0,83,24,0
1,4,1,24,2
0,51,5,24,0
0,43,1,24,0
0,8,1,24,0
3,25,1,24,0
1,21,5,24,0
0,65,2,24,0
0,32,3,24,0
0,30,2,24,0
0,63,1,24,0
0,36,3,24,0
0,69,2,24,0
0,45,4,24,0
0,46,3,24,0
0,37,2,24,0
0,34,1,24,0
0,49,1,24,0
1,35,55,24,0
0,50,3,24,0
0,72,1,24,0
0,48,2,24,0
0,57,5,24,0
0,29,1,24,0
1,37,13,24,0
0,46,4,24,0
0,4,1,24,0
3,23,14,24,0
0,22,3,24,0
0,67,20,24,0
0,30,7,24,0
1,54,1,24,0
0,12,1,24,0
0,2,2,24,0
0,5,2,24,0
0,45,1,24,0
0,33,2,24,0
1,1,1,24,0
0,0,1,24,0
0,21,2,24,0
0,29,30,24,2
0,43,18,24,0
0,56,2,24,0
0,51,2,24,0
0,36,1,24,0
0,64,1,24,0
0,53,2,24,0
0,23,2,24,0
9,22,3,24,0
0,28,2,24,0
0,48,13,24,0
0,8,1,24,0
0,61,1,24,0
4,24,21,24,0
0,7,3,24,1
0,30,1,24,0
0,56,1,24,0
1,17,1,24,0
0,51,1,24,0
0,47,2,24,0
0,9,12,24,0
0,44,1,24,0
6,15,6,24,0
1,37,4,24,0
0,46,3,24,0
0,49,2,24,0
2,25,3,24,0
2,16,15,24,1
0,8,1,24,0
0,64,2,24,0
1,7,1,24,0
1,29,11,24,0
53,15,163,24,25
0,47,94,24,4
1,51,43,24,7
1,70,56,24,0
16,29,51,24,14
7,49,62,24,4
24,39,107,24,18
12,50,20,24,4
40,16,120,24,11
4,12,69,24,19
38,51,30,24,3
23,53,24,24,10
26,13,51,24,28
139,62,434,24,60
42,12,50,24,21
94,57,167,24,56
24,48,55,24,11
26,25,80,24,16
4,70,58,24,12
14,47,71,24,27
1,48,24,24,1
70,31,130,24,54
6,72,34,24,1
32,38,57,24,6
1,60,47,24,4
15,50,40,24,7
7,53,56,24,6
6,44,28,24,1
4,53,19,24,9
14,36,34,24,1
13,36,49,24,0
27,28,1,24,1
5,58,20,24,1
18,37,46,24,3
9,6,28,24,13
58,39,83,24,14
82,59,171,24,102
47,4,31,24,60
1,67,375,24,29
34,40,84,24,43
21,13,71,24,38
1,60,20,24,4
95,15,56,24,36
99,6,39,24,61
100,28,138,24,6
121,24,38,24,5
7,40,46,24,1
34,14,18,24,29
43,40,149,24,20
23,17,30,24,7
7,45,54,24,3
21,64,52,24,8
42,16,62,24,6
25,9,12,24,43
5,61,48,24,7
24,48,308,24,35
19,8,63,24,21
18,35,38,24,4
13,34,21,24,6
0,48,133,24,2
17,39,139,24,2
23,3,295,24,123
16,2,158,24,47
13,42,198,24,1
13,45,125,24,1
4,50,110,24,5
40,28,107,24,27
5,69,71,24,2
32,43,137,24,7
1,64,295,24,0
62,27,105,24,7
4,1,61,24,13
31,32,54,24,2
42,43,100,24,17
32,32,84,24,11
3,52,88,24,2
58,23,37,24,0
71,26,48,24,1
124,6,39,24,14
26,6,33,24,20
9,15,112,24,27
762,22,326,24,14
463,15,588,24,22
2,52,72,24,2
20,16,68,24,30
12,68,50,24,4
5,62,415,24,3
4,63,81,24,2
6,50,96,24,0
4,11,41,24,19
9,12,85,24,57
23,7,35,24,47
33,24,62,24,11
26,44,55,24,1
69,21,339,24,11
42,24,48,24,12
17,42,34,24,7
1,64,65,24,1
31,39,74,24,2
15,42,30,24,2
53,19,39,24,18
11,54,88,24,5
3,60,145,24,1
1,55,69,24,0
47,45,97,24,7
12,20,41,24,21
2,48,39,24,1
16,21,113,24,37
52,34,108,24,3
20,27,43,24,16
3,62,66,24,5
10,50,53,24,0
2,68,30,24,1
20,56,47,24,3
26,30,545,24,3
1,2,31,24,32
28,21,56,24,18
42,22,53,18,8
0,7,85,24,0
0,48,1,24,0
0,32,1,19,0
8,57,1366,24,4
0,13,317,24,0
21,47,742,24,2
0,41,4,24,0
0,51,13,24,0
0,45,23,24,0
0,2,24,24,0
1,11,64,24,0
0,61,362,24,0
3,29,14,24,0
0,41,40,24,0
12,14,93,24,1
2,2,208,24,9
0,58,3,24,0
0,42,2,24,0
0,64,347,24,0
0,46,1,24,0
0,56,49,24,0
2,1,4,24,3
2,7,3,24,0
8,31,299,24,0
9,20,84,24,0
19,11,1,24,7
2,57,292,24,0
6,46,770,24,1
2,54,285,24,0
7,17,28,24,0
0,54,186,24,1
2,29,86,24,0
0,62,37,24,1
1,67,371,24,1
9,21,2,24,0
0,69,1,24,0
0,30,1,24,0
0,45,75,24,1
0,52,1,24,0
2,7,94,24,0
0,28,1,24,0
2,30,51,24,0
0,62,186,24,0
9,26,221,24,1
24,43,1036,24,1
0,60,194,24,0
0,5,76,24,0
23,22,304,24,1
34,47,2692,24,36
15,28,187,24,2
10,29,48,24,1
0,71,25,24,0
0,15,2,24,0
17,19,219,24,1
0,59,114,24,1
1,2,63,24,3
2,40,190,24,0
0,70,59,24,0
3,7,65,24,1
1,64,161,24,0
0,33,63,24,0
2,28,4,24,0
2,59,123,24,2
3,7,5,24,1
0,72,38,24,0
0,59,94,24,0
0,65,1,24,0
0,34,4,24,0
0,24,6,24,0
0,51,23,24,0
0,69,61,24,1
0,63,1,24,0
3,36,3,24,1
3,13,11,24,1
0,61,65,24,0
1,50,209,24,0
4,42,176,24,0
2,33,195,24,0
0,42,3,24,1
0,66,43,24,0
17,17,196,24,5
1,17,1,24,1
0,10,94,24,0
1,10,4,24,1
0,1,2,24,0
1,37,36,24,0
81,22,816,24,22
1,25,14,24,0
8,18,294,24,9
0,52,6,24,0
2,26,12,24,1
0,65,40,24,0
0,55,131,24,0
1,55,387,24,0
0,56,102,24,0
47,12,3,24,24
1,58,215,24,0
5,7,166,24,5
7,26,63,24,0
2,33,2,24,0
6,12,147,24,1
0,71,78,24,0
0,71,107,24,0
1,46,432,24,0
2,14,15,24,0
2,57,253,24,0
0,66,96,24,0
7,5,322,24,4
0,69,2,24,0
3,24,36,24,0
0,23,3,24,0
0,60,140,24,0
1,53,113,24,0
0,52,3,24,0
1,58,2,24,0
0,41,69,24,0
7,15,43,24,0
1,38,104,24,0
2,26,1,24,0
0,48,156,24,0
5,21,1,24,1
0,71,13,24,0
5,14,266,24,1
11,18,110,24,2
10,20,21,24,1
3,35,4,24,0
0,66,2,24,0
17,5,147,24,4
0,61,346,24,0
1,48,263,24,1
0,34,1,24,0
1,40,1,24,0
2,30,19,24,0
3,15,3,24,0
2,16,22,24,1
0,15,2,24,0
11,6,171,24,11
3,32,133,24,1
2,42,2,24,0
1,45,2,24,0
0,70,2,24,0
1,65,16,24,0
6,6,228,24,8
0,57,100,24,0
1,51,31,24,1
1,46,177,24,0
10,1,478,24,18
0,54,118,24,0
2,33,19,24,0
8,51,317,24,0
0,7,3,24,0
0,70,96,24,0
6,1,65,24,14
1,36,6,24,0
1,47,43,24,1
1,41,180,24,0
1,45,187,24,0
4,45,3,24,0
0,61,22,24,0
1,30,47,24,0
1,18,36,24,1
12,13,209,24,5
19,8,147,24,5
2,33,97,24,1
0,42,4,24,0
2,26,28,24,0
18,14,195,24,6
11,22,129,24,0
0,28,2,24,0
1,40,227,24,0
1,41,1,24,0
1,21,26,24,0
0,28,2,24,0
0,21,2,24,0
0,14,57,24,0
0,46,34,24,0
0,30,1,24,0
2,55,240,24,0
3,60,279,8,0
2,56,88,24,1
4,63,19,24,0
5,55,1,24,0
8,41,12,24,0
0,71,16,24,1
2,48,16,24,0
4,47,4,24,1
0,54,1,24,0
1,57,2,24,0
9,32,3,24,1
59,18,25,24,21
285,6,398,24,115
8,31,4,24,1
7,10,3,24,4
87,11,22,24,35
0,0,19,24,56
8,50,75,24,4
99,13,62,24,29
3,28,17,24,2
10,4,3,24,3
1,46,1,24,2
5,34,24,24,0
31,10,4,24,6
40,29,58,24,7
38,25,43,24,7
27,34,19,24,2
1,46,11,24,0
282,22,11,24,24
0,64,1,4,0
29,32,40,24,10
104,18,40,24,28
7,39,21,19,3
125,18,103,24,33
294,8,479,24,136
4,28,3,14,2
12,25,88,24,3
23,16,180,24,5
3,67,129,24,2
19,8,191,24,15
19,21,96,24,2
4,42,87,24,0
8,40,171,24,4
25,4,172,24,27
0,64,1,24,0
4,54,99,24,0
7,24,83,24,0
10,16,49,24,3
14,33,108,24,3
7,44,132,24,1
7,1,78,24,3
10,18,73,24,5
0,41,63,23,0
40,7,149,24,12
0,45,1,24,0
2,58,41,24,1
13,29,24,24,0
1,62,21,24,0
12,36,196,24,2
0,0,122,24,85
133,21,153,24,14
2,63,110,24,0
0,54,4,24,0
3,45,24,24,0
2,59,3,24,1
1,58,121,24,0
44,7,138,24,33
0,55,47,24,0
0,52,39,24,0
3,39,55,24,0
2,68,49,24,2
1,61,84,24,0
2,64,37,24,0
52,9,51,24,7
74,23,85,24,4
2,58,108,1,0
0,19,1,24,0
0,23,1,24,0
0,22,2,24,0
0,40,1,24,0
0,40,1,24,0
0,50,1,24,0
0,43,1,24,0
0,25,1,24,0
0,34,1,24,0
0,57,1,24,0
8,5,1,24,0
0,45,1,24,0
0,58,1,24,0
0,36,1,24,0
21,66,313,24,3
272,33,415,24,63
604,26,804,24,116
96,18,200,24,26
158,7,4,24,75
270,24,583,20,57
0,5,20,24,0
0,45,3,24,0
0,65,1,24,0
1,12,1,24,1
0,60,1,24,0
0,50,1,24,0
0,27,1,24,0
4,16,2,24,1
0,15,1,24,1
4,68,1,24,0
1,31,19,24,0
0,15,2,24,0
1,28,8,24,0
0,52,2,24,0
0,31,4,24,1
